codice;geo_point
117;"{""type"":""Point"",""coordinates"":[11.251445369,44.537493606]}"
118;"{""type"":""Point"",""coordinates"":[11.251445369,44.539741907]}"
119;"{""type"":""Point"",""coordinates"":[11.251445369,44.541990208]}"
120;"{""type"":""Point"",""coordinates"":[11.251445369,44.544238509]}"
121;"{""type"":""Point"",""coordinates"":[11.251445369,44.54648681]}"
122;"{""type"":""Point"",""coordinates"":[11.251445369,44.54873511]}"
123;"{""type"":""Point"",""coordinates"":[11.251445369,44.550983411]}"
124;"{""type"":""Point"",""coordinates"":[11.251445369,44.553231712]}"
125;"{""type"":""Point"",""coordinates"":[11.251445369,44.555480013]}"
126;"{""type"":""Point"",""coordinates"":[11.254593134,44.49927249]}"
127;"{""type"":""Point"",""coordinates"":[11.254593134,44.501520791]}"
128;"{""type"":""Point"",""coordinates"":[11.254593134,44.503769092]}"
129;"{""type"":""Point"",""coordinates"":[11.254593134,44.506017393]}"
130;"{""type"":""Point"",""coordinates"":[11.254593134,44.508265694]}"
131;"{""type"":""Point"",""coordinates"":[11.254593134,44.510513995]}"
132;"{""type"":""Point"",""coordinates"":[11.254593134,44.512762296]}"
133;"{""type"":""Point"",""coordinates"":[11.254593134,44.515010597]}"
134;"{""type"":""Point"",""coordinates"":[11.254593134,44.517258898]}"
135;"{""type"":""Point"",""coordinates"":[11.254593134,44.519507199]}"
136;"{""type"":""Point"",""coordinates"":[11.254593134,44.5217555]}"
137;"{""type"":""Point"",""coordinates"":[11.254593134,44.5240038]}"
138;"{""type"":""Point"",""coordinates"":[11.254593134,44.526252101]}"
139;"{""type"":""Point"",""coordinates"":[11.254593134,44.528500402]}"
140;"{""type"":""Point"",""coordinates"":[11.254593134,44.530748703]}"
141;"{""type"":""Point"",""coordinates"":[11.254593134,44.532997004]}"
142;"{""type"":""Point"",""coordinates"":[11.254593134,44.535245305]}"
143;"{""type"":""Point"",""coordinates"":[11.254593134,44.537493606]}"
144;"{""type"":""Point"",""coordinates"":[11.254593134,44.539741907]}"
145;"{""type"":""Point"",""coordinates"":[11.254593134,44.541990208]}"
146;"{""type"":""Point"",""coordinates"":[11.254593134,44.544238509]}"
147;"{""type"":""Point"",""coordinates"":[11.254593134,44.54648681]}"
148;"{""type"":""Point"",""coordinates"":[11.254593134,44.54873511]}"
149;"{""type"":""Point"",""coordinates"":[11.254593134,44.550983411]}"
150;"{""type"":""Point"",""coordinates"":[11.257740899,44.494775889]}"
151;"{""type"":""Point"",""coordinates"":[11.257740899,44.49702419]}"
152;"{""type"":""Point"",""coordinates"":[11.257740899,44.49927249]}"
153;"{""type"":""Point"",""coordinates"":[11.257740899,44.501520791]}"
154;"{""type"":""Point"",""coordinates"":[11.257740899,44.503769092]}"
155;"{""type"":""Point"",""coordinates"":[11.257740899,44.506017393]}"
156;"{""type"":""Point"",""coordinates"":[11.257740899,44.508265694]}"
157;"{""type"":""Point"",""coordinates"":[11.257740899,44.510513995]}"
158;"{""type"":""Point"",""coordinates"":[11.257740899,44.512762296]}"
159;"{""type"":""Point"",""coordinates"":[11.257740899,44.515010597]}"
160;"{""type"":""Point"",""coordinates"":[11.257740899,44.517258898]}"
161;"{""type"":""Point"",""coordinates"":[11.257740899,44.519507199]}"
162;"{""type"":""Point"",""coordinates"":[11.257740899,44.5217555]}"
163;"{""type"":""Point"",""coordinates"":[11.257740899,44.5240038]}"
164;"{""type"":""Point"",""coordinates"":[11.257740899,44.526252101]}"
165;"{""type"":""Point"",""coordinates"":[11.257740899,44.528500402]}"
166;"{""type"":""Point"",""coordinates"":[11.257740899,44.530748703]}"
167;"{""type"":""Point"",""coordinates"":[11.257740899,44.532997004]}"
168;"{""type"":""Point"",""coordinates"":[11.257740899,44.535245305]}"
169;"{""type"":""Point"",""coordinates"":[11.257740899,44.537493606]}"
170;"{""type"":""Point"",""coordinates"":[11.257740899,44.539741907]}"
171;"{""type"":""Point"",""coordinates"":[11.257740899,44.541990208]}"
172;"{""type"":""Point"",""coordinates"":[11.257740899,44.544238509]}"
173;"{""type"":""Point"",""coordinates"":[11.257740899,44.54648681]}"
174;"{""type"":""Point"",""coordinates"":[11.260888664,44.492527588]}"
175;"{""type"":""Point"",""coordinates"":[11.260888664,44.494775889]}"
176;"{""type"":""Point"",""coordinates"":[11.260888664,44.49702419]}"
177;"{""type"":""Point"",""coordinates"":[11.260888664,44.49927249]}"
178;"{""type"":""Point"",""coordinates"":[11.260888664,44.501520791]}"
179;"{""type"":""Point"",""coordinates"":[11.260888664,44.503769092]}"
180;"{""type"":""Point"",""coordinates"":[11.260888664,44.506017393]}"
181;"{""type"":""Point"",""coordinates"":[11.260888664,44.508265694]}"
182;"{""type"":""Point"",""coordinates"":[11.260888664,44.510513995]}"
183;"{""type"":""Point"",""coordinates"":[11.260888664,44.512762296]}"
184;"{""type"":""Point"",""coordinates"":[11.260888664,44.515010597]}"
185;"{""type"":""Point"",""coordinates"":[11.260888664,44.517258898]}"
186;"{""type"":""Point"",""coordinates"":[11.260888664,44.519507199]}"
187;"{""type"":""Point"",""coordinates"":[11.260888664,44.5217555]}"
188;"{""type"":""Point"",""coordinates"":[11.260888664,44.5240038]}"
189;"{""type"":""Point"",""coordinates"":[11.260888664,44.526252101]}"
190;"{""type"":""Point"",""coordinates"":[11.260888664,44.528500402]}"
191;"{""type"":""Point"",""coordinates"":[11.260888664,44.530748703]}"
192;"{""type"":""Point"",""coordinates"":[11.260888664,44.532997004]}"
193;"{""type"":""Point"",""coordinates"":[11.260888664,44.535245305]}"
194;"{""type"":""Point"",""coordinates"":[11.260888664,44.537493606]}"
195;"{""type"":""Point"",""coordinates"":[11.260888664,44.539741907]}"
196;"{""type"":""Point"",""coordinates"":[11.260888664,44.541990208]}"
