codice;denominazione;numero_linee;ubicazione;quartiere;zona_di_prossimita;geo_point
1408;CANOVA;4;NUOVO SOTTOPASSO DI VIA DUE MADONNE;San Donato - San Vitale;CROCE DEL BIACCO - ROVERI;44.488035, 11.396994
1412;FIORAVANTI PIAZZA LIBER P;4;VIA FIORAVANTI FR 23;Navile;BOLOGNINA;44.50871, 11.340348
1619;MARESCOTTI - DE ROSSI;1;VIA MARESCOTTI 30 METRI DOPO CIV 27-51;San Donato - San Vitale;CROCE DEL BIACCO - ROVERI;44.489987, 11.418404
2000;PORTA SAN VITALE (VIA MAS;3;VIA MASSARENTI 10;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.493905, 11.358106
2001;PORTA SAN VITALE;1;VIA MASSARENTI P.L. 5;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.493728, 11.358376
2002;OSPEDALE SANT`ORSOLA;17;VIA MASSARENTI 90/2C;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.492798, 11.361998
2003;OSPEDALE SANT`ORSOLA;13;VIA MASSARENTI FR 78;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.492825, 11.361534
2004;OSPEDALE SANT`ORSOLA ALBE;19;VIA MASSARENTI 102;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.492321, 11.364155
2005;OSPEDALE SANT`ORSOLA ALBE;15;VIA MASSARENTI PL 33;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.492175, 11.36425
2006;MASSARENTI;3;VIA MASSARENTI 134;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.492677, 11.366987
2008;RIMESSE STAZIONE;13;VIA MASSARENTI FR 95;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.493416, 11.373431
2009;MASSARENTI;2;VIA MASSARENTI 37;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.492703, 11.368334
2010;TRIACHINI;3;VIA MASSARENTI 200;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.493002, 11.370408
2011;RIMESSE STAZIONE;12;VIA MASSARENTI 97;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.49331, 11.373779
2012;RIMESSE STAZIONE;2;VIA MASSARENTI 242;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.493471, 11.373823
2013;PARCO;2;VIA MASSARENTI 111;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.4932, 11.376013
2014;PARCO;3;VIA MASSARENTI 350;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.493247, 11.376808
2017;MASSARENTI SOTTOVIA;2;VIA MASSARENTI 153;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.49356, 11.381625
2018;MASSARENTI SOTTOVIA;3;VIA MASSARENTI FR PL 103;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.493693, 11.381291
2019;GIAMBOLOGNA;4;VIA MASSARENTI 203;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.493181, 11.385559
2020;SANTA RITA;3;VIA MASSARENTI 414;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.493502, 11.383132
2021;TANGENZIALE SAN VITALE;12;VIA MASSARENTI 223/3;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.493331, 11.389602
2022;GIAMBOLOGNA;5;VIA MASSARENTI 456;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.493282, 11.38589
2025;PIAZZA DEI COLORI;13;VIA MATTEI 10 METRI DOPO P.L. 12156;San Donato - San Vitale;CROCE DEL BIACCO - ROVERI;44.494566, 11.398545
2026;TANGENZIALE SAN VITALE;14;VIA MASSARENTI 480;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.49364, 11.389891
2028;PIAZZA DEI COLORI;3;VIA MATTEI 10;San Donato - San Vitale;CROCE DEL BIACCO - ROVERI;44.494521, 11.397235
2029;CASERMA CHIARINI;2;VIA MATTEI FR 48;San Donato - San Vitale;CROCE DEL BIACCO - ROVERI;44.495911, 11.406461
2030;BARELLI;13;VIA MATTEI 22/A;San Donato - San Vitale;CROCE DEL BIACCO - ROVERI;44.494827, 11.399788
2033;ROVERI;10;VIA MATTEI FR 80/C;San Donato - San Vitale;CROCE DEL BIACCO - ROVERI;44.496609, 11.410502
2034;CASERMA CHIARINI;2;VIA MATTEI 10 M PRIMA CIV. 60;San Donato - San Vitale;CROCE DEL BIACCO - ROVERI;44.496272, 11.408162
2035;RESTO DEL CARLINO;9;VIA MATTEI FR 106;San Donato - San Vitale;CROCE DEL BIACCO - ROVERI;44.49787, 11.417737
2036;ROVERI;11;VIA MATTEI 76/A;San Donato - San Vitale;CROCE DEL BIACCO - ROVERI;44.496843, 11.41138
2038;RESTO DEL CARLINO;10;VIA MATTEI 106;San Donato - San Vitale;CROCE DEL BIACCO - ROVERI;44.497887, 11.41736
2042;VILLANOVA MATTEI;2;VIA TOSARELLI 434;San Donato - San Vitale;CROCE DEL BIACCO - ROVERI;44.498429, 11.422363
2101;PALAGI;3;VIA PALAGI 26;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.49132, 11.365963
2102;PALAGI;1;VIA PALAGI 25;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.49119, 11.366159
2103;OSPEDALE MALPIGHI;4;VIA PALAGI 4;Santo Stefano;MURRI;44.487778, 11.366185
2105;ZANOLINI;16;VIA ZANOLINI 40;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.4972, 11.359371
2106;ZANOLINI;19;VIA ZANOLINI 41;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.497505, 11.359421
2111;MASSARENTI;1;VIA VENTUROLI 19-21;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.492249, 11.367623
2112;PALAGI;1;VIA VIZZANI 8/12;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.49174, 11.366559
2113;ARPA;1;VIA VENTUROLI 45;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.491463, 11.369956
2114;ARPA;1;VIA VIZZANI 56;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.490291, 11.370877
2117;VERMIGLIA;1;VIA VENTUROLI 57;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.490925, 11.371582
2118;ARCOBALENO;1;VIA AZZURRA 44;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.488553, 11.373498
2119;ARCOBALENO;1;VIA AZZURRA 41;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.488906, 11.373399
2120;VETULONIA;2;VIALE FELSINA P.L. 32;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.487014, 11.377372
2121;VETULONIA;2;VIALE FELSINA 31;Savena;FOSSOLO - DUE MADONNE;44.487074, 11.377525
2122;SPINA;2;VIALE FELSINA P.L. 38;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.488944, 11.378066
2125;SPINA;2;VIALE FELSINA 39;Savena;FOSSOLO - DUE MADONNE;44.489181, 11.378353
2126;ISTITUTO MANFREDI TANARI;4;VIALE FELSINA P.L. 5;Savena;FOSSOLO - DUE MADONNE;44.489249, 11.386329
2127;ETRURIA;2;VIALE FELSINA FR P.L. 48;Savena;FOSSOLO - DUE MADONNE;44.489605, 11.380495
2128;MARX;2;VIA LENIN FR P.L. 45;Savena;FOSSOLO - DUE MADONNE;44.485758, 11.386249
2129;ISTITUTO MANFREDI TANARI;4;VIALE FELSINA FR P.L. 3;Savena;FOSSOLO - DUE MADONNE;44.488806, 11.387267
2130;ETRURIA;2;VIALE FELSINA P.L. 51;Savena;FOSSOLO - DUE MADONNE;44.489635, 11.380321
2133;MARX;2;VIA LENIN FR P.L. 42;Savena;FOSSOLO - DUE MADONNE;44.485744, 11.38606
2151;VERMIGLIA;1;VIA VERMIGLIA 7;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.491625, 11.372541
2152;SMERALDO;1;VIA AZZURRA 20;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.490717, 11.373799
2201;MASIA;1;VIA BENTIVOGLI 52;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.497797, 11.364024
2202;MASIA;1;VIA BENTIVOGLI 89/A;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.496557, 11.364364
2203;CIRENAICA;1;VIA BENTIVOGLI 36;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.495829, 11.364309
2204;CIRENAICA;1;VIA BENTIVOGLI FR 18;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.494705, 11.364654
2205;BENTIVOGLI;1;VIA BENTIVOGLI FR 13/A;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.49321, 11.364694
2301;CROCE DEL BIACCO;3;VIA MARTELLI 38;San Donato - San Vitale;CROCE DEL BIACCO - ROVERI;44.490585, 11.399036
2302;CROCE DEL BIACCO;4;VIA MARTELLI P.L. 21;San Donato - San Vitale;CROCE DEL BIACCO - ROVERI;44.49049, 11.398843
2303;MARTELLI;3;VIA MARTELLI FR 9/3;San Donato - San Vitale;CROCE DEL BIACCO - ROVERI;44.492636, 11.400415
2304;MARTELLI;4;VIA MARTELLI 11;San Donato - San Vitale;CROCE DEL BIACCO - ROVERI;44.492763, 11.400332
2401;RIMESSE;2;VIA RIMESSE 4/A;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.494203, 11.372796
2402;RIMESSE;2;VIA RIMESSE FR 4M;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.494327, 11.37289
2450;LARGA STAZIONE;4;VIA LARGA;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.496919, 11.393233
2451;LARGA;3;VIA LARGA 13;San Donato - San Vitale;CROCE DEL BIACCO - ROVERI;44.495146, 11.392355
2452;LARGA;4;VIA LARGA 2/A;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.494981, 11.392022
2453;CARROZZAIO;3;VIA CARROZZAIO FR 2;San Donato - San Vitale;CROCE DEL BIACCO - ROVERI;44.499171, 11.39574
2454;CARROZZAIO;3;VIA CARROZZAIO 2;San Donato - San Vitale;CROCE DEL BIACCO - ROVERI;44.49897, 11.395845
2455;CERAMISTA;3;VIA CERAMISTA 1;San Donato - San Vitale;CROCE DEL BIACCO - ROVERI;44.49924, 11.397605
2456;CERAMISTA;3;VIA CERAMISTA P.L. 13;San Donato - San Vitale;CROCE DEL BIACCO - ROVERI;44.499072, 11.397007
2457;LARGA STAZIONE;3;VIA LARGA 25;San Donato - San Vitale;CROCE DEL BIACCO - ROVERI;44.498179, 11.394115
2459;CERODOLO;2;VIA CEREDOLO FR 2/3;San Donato - San Vitale;CROCE DEL BIACCO - ROVERI;44.502243, 11.399501
2460;CERODOLO;2;VIA CERODOLO 2/3;San Donato - San Vitale;CROCE DEL BIACCO - ROVERI;44.502236, 11.3994
2461;ELETTRICISTA;2;VIA CERODOLO P.L. 27;San Donato - San Vitale;CROCE DEL BIACCO - ROVERI;44.502474, 11.40175
2462;ELETTRICISTA;2;VIA CERODOLO P.L. 35;San Donato - San Vitale;CROCE DEL BIACCO - ROVERI;44.502537, 11.401778
2463;FONDITORE;2;VIA DEL FRESATORE P.L. 30;San Donato - San Vitale;CROCE DEL BIACCO - ROVERI;44.501872, 11.404719
2464;FONDITORE;2;VIA DEL FRESATORE FR P.L. 30;San Donato - San Vitale;CROCE DEL BIACCO - ROVERI;44.501991, 11.404636
2467;FRESATORE;2;VIA DEL FRESATORE P.L. 12;San Donato - San Vitale;CROCE DEL BIACCO - ROVERI;44.500928, 11.407649
2468;FRESATORE;2;VIA DEL FRESATORE FR P.L. 12;San Donato - San Vitale;CROCE DEL BIACCO - ROVERI;44.501045, 11.407629
2469;MURATORE;2;VIA DEL MURATORE FR P.L. 45;San Donato - San Vitale;CROCE DEL BIACCO - ROVERI;44.500805, 11.410462
2470;MURATORE;2;VIA DEL MURATORE P.L. 45;San Donato - San Vitale;CROCE DEL BIACCO - ROVERI;44.500916, 11.410315
2472;ROTONDA ACQUA FRESCA;2;VIA DEL SELCIATORE P.L. 4;San Donato - San Vitale;CROCE DEL BIACCO - ROVERI;44.503583, 11.413193
2476;ROTONDA NEGRONI;2;VIA DEL SELCIATORE 20;San Donato - San Vitale;CROCE DEL BIACCO - ROVERI;44.501866, 11.418631
2477;ROTONDA ACQUA FRESCA;2;VIA DEL MURATORE P.L. 14-16;San Donato - San Vitale;CROCE DEL BIACCO - ROVERI;44.504289, 11.412605
2479;VETRAIO;2;VIA DEL VETRAIO 21;San Donato - San Vitale;CROCE DEL BIACCO - ROVERI;44.505028, 11.421505
2482;INDUSTRIA;2;VIA DELL`INDUSTRIA 15;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.504742, 11.394924
2485;INDUSTRIA;1;VIA DELL`INDUSTRIA FR 15;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.50489, 11.394767
2486;CARPENTIERE;2;VIA DELL`INDUSTRIA FR 2;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.504306, 11.391258
2487;CARPENTIERE;1;VIA DELL`INDUSTRIA 2;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.504518, 11.391468
2488;PILASTRO VECCHIO;2;VIA GIAN LUIGI PROTCHE P.L. 102;San Donato - San Vitale;SAN DONATO NUOVO;44.507554, 11.388347
2491;INNOCENTI;1;VIA LARGA P.L. 33-34;San Donato - San Vitale;CROCE DEL BIACCO - ROVERI;44.499895, 11.395128
2492;INNOCENTI;2;VIA LARGA P.L. 29-30;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.499933, 11.395029
2493;ENZO FERRARI;2;VIA LARGA 35;San Donato - San Vitale;CROCE DEL BIACCO - ROVERI;44.502407, 11.396804
2495;SCALO SAN DONATO;2;VIA LARGA FR P.L. 101;San Donato - San Vitale;SAN DONATO NUOVO;44.507901, 11.396689
2496;SCALO SAN DONATO;2;VIA LARGA FR P.L. 100;San Donato - San Vitale;SAN DONATO NUOVO;44.507661, 11.396554
2497;PIANETA;1;VIA SCANDELLARA;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.497233, 11.392818
2498;SCUOLE SCANDELLARA;1;VIA SCANDELLARA 56;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.496672, 11.384783
3003;MERCATO SAN DONATO;7;VIA SAN DONATO 43;San Donato - San Vitale;SAN DONATO VECCHIO;44.502798, 11.362943
3004;SANT`EGIDIO;6;VIA BERLINGUER FR PL 6;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.499181, 11.359363
3005;CENTRO ZANARDI;4;VIA SAN DONATO 59;San Donato - San Vitale;SAN DONATO VECCHIO;44.50394, 11.366512
3006;MERCATO SAN DONATO;4;VIA SAN DONATO 66/3;San Donato - San Vitale;SAN DONATO VECCHIO;44.502907, 11.362885
3007;SANT`EGIDIO;6;VIA BERLINGUER PL6;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.499043, 11.359521
3009;SAN DONATO;4;VIA SAN DONATO 87;San Donato - San Vitale;SAN DONATO VECCHIO;44.505151, 11.371467
3010;CENTRO ZANARDI;6;VIA SAN DONATO 68;San Donato - San Vitale;SAN DONATO VECCHIO;44.503939, 11.366952
3011;SIRENELLA;4;VIA SAN DONATO 139;San Donato - San Vitale;SAN DONATO VECCHIO;44.506386, 11.374423
3012;SAN DONATO;6;VIA SAN DONATO 98;San Donato - San Vitale;SAN DONATO VECCHIO;44.504977, 11.370768
3013;SAN DONNINO;6;VIA SAN DONATO 153/2;San Donato - San Vitale;SAN DONATO VECCHIO;44.508587, 11.378551
3014;SIRENELLA;3;VIA SAN DONATO 124/B;San Donato - San Vitale;SAN DONATO VECCHIO;44.506075, 11.373379
3017;CADRIANO BIVIO;4;VIA SAN DONATO 167/5;San Donato - San Vitale;SAN DONATO NUOVO;44.511095, 11.383887
3018;SAN DONNINO;6;VIA SAN DONATO 158/69;San Donato - San Vitale;SAN DONATO VECCHIO;44.508684, 11.378215
3019;PIRANDELLO;2;VIA PIRANDELLO FR 16;San Donato - San Vitale;SAN DONATO NUOVO;44.511716, 11.389486
3020;CADRIANO BIVIO;6;VIA SAN DONATO P.L. 62;San Donato - San Vitale;SAN DONATO NUOVO;44.511841, 11.384798
3022;PIRANDELLO;2;VIA PIRANDELLO P.L. 25;San Donato - San Vitale;SAN DONATO NUOVO;44.511765, 11.389764
3025;SVEVO;3;VIA PANZINI FR P.L. 13;San Donato - San Vitale;SAN DONATO NUOVO;44.508442, 11.394522
3026;PILASTRO;2;PIAZZA LIPPARINI FR P.L. 2;San Donato - San Vitale;SAN DONATO NUOVO;44.51043, 11.3959
3027;DELEDDA;3;VIA PANZINI FR P.L. 31;San Donato - San Vitale;SAN DONATO NUOVO;44.510102, 11.399925
3051;BIVIO PILASTRO;2;VIA PILASTRO FR PL 5;San Donato - San Vitale;SAN DONATO NUOVO;44.510069, 11.383467
3052;SALGARI;1;VIA SALGARI FR 25;San Donato - San Vitale;SAN DONATO NUOVO;44.514351, 11.390059
3053;PILASTRO VECCHIO;1;VIA PILASTRO FR 14/B;San Donato - San Vitale;SAN DONATO NUOVO;44.507873, 11.389429
3054;NEGRI;1;VIA SALGARI FR 65;San Donato - San Vitale;SAN DONATO NUOVO;44.513511, 11.395799
3055;C.S. RECORD;1;VIA PILASTRO 15;San Donato - San Vitale;SAN DONATO NUOVO;44.507961, 11.391685
3056;PILASTRO;2;VIA CASINI P.L. 16;San Donato - San Vitale;SAN DONATO NUOVO;44.511071, 11.395813
3059;SVEVO;3;VIA PILASTRO (Scalo);San Donato - San Vitale;SAN DONATO NUOVO;44.508182, 11.395304
3074;PANZINI;3;VIA PANZINI FR P.L. 7;San Donato - San Vitale;SAN DONATO NUOVO;44.509359, 11.393302
3075;SIGHINOLFI;3;VIA SIGHINOLFI FR PL 5;San Donato - San Vitale;SAN DONATO NUOVO;44.511093, 11.400758
3076;SIGHINOLFI;2;VIA SIGHINOLFI 48;San Donato - San Vitale;SAN DONATO NUOVO;44.51122, 11.401556
3101;BEROALDO;4;VIA BEROALDO 13;San Donato - San Vitale;SAN DONATO VECCHIO;44.502253, 11.36667
3102;GALEOTTI;5;VIA GALEOTTI 14/B;San Donato - San Vitale;SAN DONATO VECCHIO;44.502663, 11.364699
3103;DUSE;5;VIA BEROALDO 51;San Donato - San Vitale;SAN DONATO VECCHIO;44.501299, 11.36926
3104;CAMPO SAVENA;3;VIA MONDO 8;San Donato - San Vitale;SAN DONATO VECCHIO;44.501138, 11.36704
3105;CALINDRI;5;VIA BEROALDO 59/D;San Donato - San Vitale;SAN DONATO VECCHIO;44.50052, 11.371229
3106;DUSE;3;VIA MONDO 16-18/A;San Donato - San Vitale;SAN DONATO VECCHIO;44.500136, 11.370182
3108;TERRAPIENO MONDO;1;VIA DEL TERRAPIENO FR PL 13;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.499284, 11.37699
3109;ANDREINI;3;VIA ANDREINI 32/D;San Donato - San Vitale;SAN DONATO VECCHIO;44.500544, 11.373507
3110;MONDO;3;VIA MONDO FR 53;San Donato - San Vitale;SAN DONATO VECCHIO;44.499024, 11.372615
3111;BEOLCO;3;VIA ANDREINI FR 23/B;San Donato - San Vitale;SAN DONATO VECCHIO;44.503009, 11.374022
3112;ANDREINI;1;VIA ANDREINI FR 30/E;San Donato - San Vitale;SAN DONATO VECCHIO;44.501416, 11.373567
3113;GIARDINO GINO CERVI;3;VIA ANDREINI PASSO CARRAIO 6038-3960;San Donato - San Vitale;SAN DONATO VECCHIO;44.505122, 11.372422
3114;BEOLCO;1;VIA ANDREINI 23;San Donato - San Vitale;SAN DONATO VECCHIO;44.503006, 11.373757
3116;TERRAPIENO;1;VIA DEL TERRAPIENO 15;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.500809, 11.378524
3118;GIARDINO GINO CERVI;1;VIA ANDREINI 5;San Donato - San Vitale;SAN DONATO VECCHIO;44.505015, 11.372367
3120;MAGAZZARI;1;VIA MAGAZZARI 1;San Donato - San Vitale;SAN DONATO VECCHIO;44.504068, 11.372492
3122;RISTORI;1;VIA RISTORI 19;San Donato - San Vitale;SAN DONATO VECCHIO;44.502133, 11.371999
3131;NUOVA;2;VIA NUOVA FR PL 7;San Donato - San Vitale;SAN DONATO VECCHIO;44.49817, 11.37297
3132;NUOVA;2;VIA NUOVA 15;San Donato - San Vitale;SAN DONATO VECCHIO;44.498312, 11.373051
3133;STAZIONE SAN VITALE;2;SOTTOPASSO TRA VIA SANTE VINCENZI - VIA;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.495896, 11.371934
3134;STAZIONE SAN VITALE;2;SOTTOPASSO TRA VIA SANTE VINCENZI VIA TO;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.495945, 11.372163
3151;CAVALCAVIA SAN DONATO;1;VIA BARONTINI 3;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.499405, 11.360316
3152;CAVALCAVIA SAN DONATO;1;VIA FABBRI 109;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.500385, 11.361676
3153;ROSSI;1;VIA ROSSI 9;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.49872, 11.36337
3154;ROSSI;1;VIA ROSSI 6;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.498748, 11.36288
3161;MERCATO SAN DONATO;3;VIA AMASEO 5;San Donato - San Vitale;SAN DONATO VECCHIO;44.502088, 11.363342
3162;DEHON;2;VIA LIBIA FR 50;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.496871, 11.365735
3163;DEHON;3;VIA LIBIA 50;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.496875, 11.365547
3164;LIBIA;2;VIA LIBIA FR 20/3;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.494797, 11.36589
3165;LIBIA;3;VIA LIBIA 18;San Donato - San Vitale;CIRENAICA - MASSARENTI - SCANDELLARA;44.494188, 11.365752
3201;VESTRI;2;VIA DEL LAVORO 44;San Donato - San Vitale;SAN DONATO VECCHIO;44.50708, 11.357455
3202;REPUBBLICA;8;VIALE REPUBBLICA FR 14;San Donato - San Vitale;SAN DONATO VECCHIO;44.50402, 11.363509
3203;LAVORO;2;VIA DEL LAVORO FR 17;San Donato - San Vitale;SAN DONATO VECCHIO;44.505232, 11.359318
3204;RUGGERI;5;VIA RUGGERI 6;San Donato - San Vitale;SAN DONATO VECCHIO;44.504897, 11.360688
3205;PEZZANA;6;VIA DEL LAVORO 16;San Donato - San Vitale;SAN DONATO VECCHIO;44.503936, 11.360612
3206;NOVELLI;5;VIALE REPUBBLICA 25/B;San Donato - San Vitale;SAN DONATO VECCHIO;44.506636, 11.361061
3208;LAVORO;1;VIA DEL LAVORO 19/L;San Donato - San Vitale;SAN DONATO VECCHIO;44.505384, 11.359362
3210;VESTRI;1;VIA DEL LAVORO 31;San Donato - San Vitale;SAN DONATO VECCHIO;44.506772, 11.357996
3212;DOPOLAVORO FERROVIARIO;1;VIA SEBASTIANO SERLIO 28;Navile;BOLOGNINA;44.508025, 11.353518
3214;BIGARI;1;VIA SEBASTIANO SERLIO 24/2;Navile;BOLOGNINA;44.508386, 11.351318
3216;CRETI;1;VIA FRANCESCHINI FR 12;Navile;BOLOGNINA;44.509744, 11.350065
3301;CAVALCAVIA MASCARELLA;1;VIA STALINGRADO 15/6;San Donato - San Vitale;SAN DONATO VECCHIO;44.506894, 11.355108
3302;CAVALCAVIA MASCARELLA;1;VIA STALINGRADO P.L. 48;Navile;BOLOGNINA;44.507164, 11.355106
3303;STALINGRADO;1;VIA STALINGRADO 27;San Donato - San Vitale;SAN DONATO VECCHIO;44.508764, 11.356114
3304;STALINGRADO;2;VIA STALINGRADO 24;Navile;BOLOGNINA;44.509153, 11.356029
3305;STALINGRADO PARRI;3;VIA STALINGRADO FR P.L. 75;San Donato - San Vitale;SAN DONATO VECCHIO;44.512302, 11.35788
3307;FIERA ALDO MORO;2;VIALE ALDO MORO PL 41;San Donato - San Vitale;SAN DONATO VECCHIO;44.508599, 11.362813
3308;STALINGRADO PARRI;3;VIA STALINGRADO;Navile;BOLOGNINA;44.512219, 11.357524
3309;CALZONI;2;VIA STALINGRADO 47;San Donato - San Vitale;SAN DONATO VECCHIO;44.514913, 11.359143
3310;CALZONI;3;VIA STALINGRADO FR 45;Navile;BOLOGNINA;44.513949, 11.358336
3311;BONVICINI;2;VIA STALINGRADO FR 84;San Donato - San Vitale;SAN DONATO VECCHIO;44.517633, 11.360838
3312;BONVICINI;1;VIA STALINGRADO 84;Navile;BOLOGNINA;44.517913, 11.360359
3313;TANGENZIALE FIERA;1;VIA STALINGRADO FR 86-96;San Donato - San Vitale;SAN DONATO VECCHIO;44.520758, 11.362512
3314;TANGENZIALE FIERA;1;VIA STALINGRADO 86-96;Navile;CORTICELLA - DOZZA;44.521006, 11.36227
3315;PARCO NORD;1;VIA STALINGRADO FR P.L. 197;Navile;CORTICELLA - DOZZA;44.526202, 11.366105
3318;MANIFATTURA;1;VIA MANIFATTURA 3;Navile;CORTICELLA - DOZZA;44.522192, 11.361098
3319;DOZZA;5;VIA STALINGRADO 101/2;Navile;CORTICELLA - DOZZA;44.528893, 11.367044
3320;DON GNOCCHI;2;VIA FERRARESE 136;Navile;CORTICELLA - DOZZA;44.525286, 11.361676
3321;APOSAZZA;5;VIA FERRARESE P.L. 131;Navile;CORTICELLA - DOZZA;44.533352, 11.367779
3322;PARCHEGGIO PARCO NORD;2;VIA FERRARESE P.L. 103-102;Navile;CORTICELLA - DOZZA;44.527214, 11.364661
3323;CASE NUOVE;4;VIA FERRARESE 227/1;Navile;CORTICELLA - DOZZA;44.540692, 11.371941
3324;FIERA ALDO MORO;1;VIALE ALDO MORO 10 MT DOPO PASSO CARRAIO;San Donato - San Vitale;SAN DONATO VECCHIO;44.509676, 11.362089
3326;DOZZA;5;VIA FERRARESE 158;Navile;CORTICELLA - DOZZA;44.528244, 11.366175
3327;DON GNOCCHI;1;VIA FERRARESE FR PL 96/97;Navile;CORTICELLA - DOZZA;44.52599, 11.3629
3328;APOSAZZA;5;VIA FERRARESE FR P.L. 130;Navile;CORTICELLA - DOZZA;44.533313, 11.367488
3329;PARCHEGGIO PARCO NORD;1;VIA FERRARESE FR PL 102/103;Navile;CORTICELLA - DOZZA;44.526959, 11.364764
3330;CASE NUOVE;4;VIA FERRARESE FR 227;Navile;CORTICELLA - DOZZA;44.540677, 11.371789
3331;PARCHEGGIO COSTITUZIONE;4;VIALE A.MORO 20 M DOPO VIA BELLETTINI;San Donato - San Vitale;SAN DONATO VECCHIO;44.510355, 11.359701
3332;PARCHEGGIO COSTITUZIONE;3;VIALE A.MORO FR P.L. 21;San Donato - San Vitale;SAN DONATO VECCHIO;44.510458, 11.360422
