codice;denominazione;numero_linee;ubicazione;quartiere;zona_di_prossimita;geo_point
99031;PIAZZALE BACCHELLI;1;PIAZZALE BACCHELLI;Santo Stefano;OSSERVANZA - PADERNO;44.480516, 11.344225
99071;JACOPO DELLA QUERCIA;1;VIA JACOPO DELLA QUERCIA 1-3;Navile;BOLOGNINA;44.507945, 11.347816
99101;Parcheggio PArco Nord;1;;Navile;CORTICELLA - DOZZA;44.521991, 11.367331
99102;Fiera Entrata Nord;1;;San Donato - San Vitale;SAN DONATO VECCHIO;44.514029, 11.367512
127227;CROARA BIVIO;1;VIA CROARA 3/5;Savena;LUNGO SAVENA;44.463478, 11.399483
127229;ALTURA;2;VIA ALTURA FR 27;Savena;LUNGO SAVENA;44.464004, 11.393295
127230;OSPEDALE BELLARIA;2;VIA ALTURA 3;Savena;LUNGO SAVENA;44.46427, 11.390905
127231;ALTURA;2;VIA ALTURA 7;Savena;LUNGO SAVENA;44.46393, 11.393405
127232;CROARA BIVIO;2;VIA ALTURA 13;Savena;LUNGO SAVENA;44.46426, 11.399968
127233;CROARA BIVIO;1;VIA CROARA FR 3/5;Savena;LUNGO SAVENA;44.463544, 11.399335
500001;CASAGLIA 32-34;1;VIA CASAGLIA 34/5;Porto - Saragozza;SARAGOZZA - SAN LUCA;44.483908, 11.312973
500003;CASAGLIA SCUOLE;1;VIA CASAGLIA 37;Porto - Saragozza;SARAGOZZA - SAN LUCA;44.477542, 11.309905
500005;CASAGLIA 53;1;VIA CASAGLIA 53;Porto - Saragozza;SARAGOZZA - SAN LUCA;44.472469, 11.308359
500007;CASAGLIA 53/2;1;VIA CASAGLIA 53/2;Porto - Saragozza;SARAGOZZA - SAN LUCA;44.470224, 11.304059
500009;CASAGLIA CHIESA;1;VIA CASAGLIA BV CAVRIOLA;Porto - Saragozza;SARAGOZZA - SAN LUCA;44.464898, 11.300757
500010;CASAGLIA CHIESA;1;VIA CASAGLIA BV CAVRIOLA;Porto - Saragozza;SARAGOZZA - SAN LUCA;44.464778, 11.300891
500011;CASAGLIA 63;1;VIA CASAGLIA 63;Porto - Saragozza;SARAGOZZA - SAN LUCA;44.460758, 11.299815
500012;CASAGLIA 63;1;VIA CASAGLIA FR 63;Porto - Saragozza;SARAGOZZA - SAN LUCA;44.460781, 11.300004
500013;CASAGLIA 64;1;VIA CASAGLIA FR 64;Porto - Saragozza;SARAGOZZA - SAN LUCA;44.456626, 11.299351
500014;CASAGLIA 64;1;VIA CASAGLIA 64;Porto - Saragozza;SARAGOZZA - SAN LUCA;44.456685, 11.299567
500016;MONTE PRADONE 66;1;VIA CASAGLIA 66;Porto - Saragozza;SARAGOZZA - SAN LUCA;44.453647, 11.297952
500017;MONTE PRADONE;1;LOCALITA` MONTE PRADONE ROTONDA;Porto - Saragozza;SARAGOZZA - SAN LUCA;44.451189, 11.296197
500020;MONTE ALBANO 21;1;VIA MONTE ALBANO FR 21;Porto - Saragozza;SARAGOZZA - SAN LUCA;44.468406, 11.302718
500022;MONTE ALBANO 38;1;VIA MONTE ALBANO 38;Porto - Saragozza;SARAGOZZA - SAN LUCA;44.470083, 11.301702
500024;MONTE ALBANO GESSAROLI;1;VIA MONTE ALBANO FR 17;Porto - Saragozza;SARAGOZZA - SAN LUCA;44.466824, 11.292271
500026;MONTE ALBANO 15;1;VIA MONTE ALBANO 15;Porto - Saragozza;SARAGOZZA - SAN LUCA;44.471061, 11.293343
500028;MONTE ALBANO 11;1;VIA MONTE ALBANO FR 9;Porto - Saragozza;SARAGOZZA - SAN LUCA;44.475537, 11.293732
500030;BASILICA DI SAN LUCA;1;VIA SAN LUCA 36;Porto - Saragozza;SARAGOZZA - SAN LUCA;44.479336, 11.296408
500032;SAN LUCA 35;1;VIA SAN LUCA FR 35;Porto - Saragozza;SARAGOZZA - SAN LUCA;44.480761, 11.300727
